country_code,country,year,gdp_growth,employment_ratio
LKA,LKA,YR2002,3.96467568513113,50.288
LKA,LKA,YR2003,5.9402690780223,50.378
LKA,LKA,YR2004,5.44506127885352,50.082
LKA,LKA,YR2005,6.24174804376447,50.26
LKA,LKA,YR2006,7.66829190107919,50.684
LKA,LKA,YR2007,6.79682611892866,50.757
LKA,LKA,YR2008,5.95008814473897,50.946
LKA,LKA,YR2009,3.53891205317842,50.392
LKA,LKA,YR2010,8.01596737040464,50.745
LKA,LKA,YR2011,8.66948301160571,50.69
LKA,LKA,YR2012,8.63218138024038,50.53
LKA,LKA,YR2013,4.05174632926911,49.874
LKA,LKA,YR2014,6.37797889289399,49.454
LKA,LKA,YR2015,4.20595547677647,51.244
LKA,LKA,YR2016,5.05362488994436,51.446
LKA,LKA,YR2017,6.46068127065753,51.807
LKA,LKA,YR2018,2.31008425545845,49.488
LKA,LKA,YR2019,-0.220483886831275,49.809
LKA,LKA,YR2020,-4.62451503749502,47.786
LKA,LKA,YR2021,4.2074764951157,47.354
LKA,LKA,YR2022,-7.34919301306745,47.475
LKA,LKA,YR2023,-2.3298481898334,46.844
MDV,MDV,YR1990,16.9522974545621,
MDV,MDV,YR1991,1.44269605986366,49.48
MDV,MDV,YR1992,6.67082531517815,49.832
MDV,MDV,YR1993,5.5567689506192,50.193
MDV,MDV,YR1994,7.74948624520917,50.549
MDV,MDV,YR1995,12.9857845637484,50.905
MDV,MDV,YR1996,7.85864717951732,51.483
MDV,MDV,YR1997,8.39794070627687,52.056
MDV,MDV,YR1998,7.49468315744153,52.623
MDV,MDV,YR1999,6.17565582696741,53.18
MDV,MDV,YR2000,3.84581023205111,53.72
MDV,MDV,YR2001,-3.94363428947094,52.82
MDV,MDV,YR2002,7.26838641001535,51.953
MDV,MDV,YR2003,13.7500496588258,51.134
MDV,MDV,YR2004,5.92489258318732,50.332
MDV,MDV,YR2005,-11.1773097720384,49.396
MDV,MDV,YR2006,23.6302720981243,48.553
MDV,MDV,YR2007,7.13338023371357,47.722
MDV,MDV,YR2008,8.97645460526985,47.033
MDV,MDV,YR2009,-8.3406987604298,46.005
MDV,MDV,YR2010,6.78546790940871,47.259
MDV,MDV,YR2011,8.84342594522782,48.53
MDV,MDV,YR2012,2.38928812559254,49.867
MDV,MDV,YR2013,6.97496226830464,51.173
MDV,MDV,YR2014,7.86068637180522,52.482
MDV,MDV,YR2015,3.8681353357138,53.83
MDV,MDV,YR2016,6.37528303066401,55.166
MDV,MDV,YR2017,7.07442871706306,57.012
MDV,MDV,YR2018,8.56895559709454,58.897
MDV,MDV,YR2019,6.92305980832566,60.729
